"id","nume_generate","prenume_generate","genuri","emails_generate","numere_telefon_generate","sucursale_generate","functii_generate","salariu_mediu_values"
604,"ALDEA","Hortensia","F","Hortensia.ALDEA@yahoo.com","0776337061","8","16",2977
605,"NICULAE","Veta","F","Veta.NICULAE@yahoo.com","0722287330","7","50",5954
606,"PANAIT","Costică","M","Costică.PANAIT@yahoo.com","0738262520","2","64",5893
607,"BUDA","Ozana","F","Ozana.BUDA@yahoo.com","0711684187","4","33",2213
608,"LUCA","Marcu","M","Marcu.LUCA@yahoo.com","0710682705","1","7",2066
609,"ENACHE","Teona","F","Teona.ENACHE@yahoo.com","0774919323","7","25",3174
610,"OLARIU","Lavinia","F","Lavinia.OLARIU@yahoo.com","0719049203","2","13",2597
611,"VERES","Romina","F","Romina.VERES@yahoo.com","0771908665","8","87",5952
612,"CROITORU","Sânziana","F","Sânziana.CROITORU@gmail.com","0725444567","4","41",4280
613,"NICOLESCU","Ruxandra","F","Ruxandra.NICOLESCU@yahoo.com","0779547284","8","71",4447
614,"VISAN","Aura","F","Aura.VISAN@yahoo.com","0708618608","4","39",3165
615,"STANCU","Mona","F","Mona.STANCU@yahoo.com","0749821969","2","62",5274
616,"GHITA","Petrișor","M","Petrișor.GHITA@yahoo.com","0778435333","1","9",2348
617,"MIHAILA","Sodica","F","Sodica.MIHAILA@yahoo.com","0718048907","1","58",4817
618,"MOLNAR","Ieremia","M","Ieremia.MOLNAR@yahoo.com","0725952314","8","79",4748
619,"BACIU","Marcel","M","Marcel.BACIU@yahoo.com","0731939121","2","34",1998
620,"POPOVICI","Ilarie","M","Ilarie.POPOVICI@yahoo.com","0731161973","7","40",6743
621,"MOGA","Măriuca","F","Măriuca.MOGA@yahoo.com","0714999427","1","80",3866
622,"COSTEA","Antonia","F","Antonia.COSTEA@gmail.com","0776121681","6","95",9523
623,"GHITA","Robert","M","Robert.GHITA@yahoo.com","0747354994","8","58",4473
624,"ENE","Clara","F","Clara.ENE@yahoo.com","0723812233","4","83",6303
625,"HORVATH","Vincențiu","M","Vincențiu.HORVATH@yahoo.com","0773630797","6","4",2063
626,"MOLDOVEANU","Simi","M","Simi.MOLDOVEANU@yahoo.com","0786674458","7","84",7342
627,"TUDOR","Gregorian","M","Gregorian.TUDOR@gmail.com","0799726615","7","86",6365
628,"ANTAL","Bebe","M","Bebe.ANTAL@gmail.com","0773592269","3","54",3359
629,"MARCUS","Rada","F","Rada.MARCUS@yahoo.com","0731434986","3","72",5577
630,"CAZACU","Selina","F","Selina.CAZACU@gmail.com","0775759994","2","80",3829
631,"STEFANESCU","Emilian","M","Emilian.STEFANESCU@yahoo.com","0752412916","4","67",6031
632,"FLOREA","Barbu","M","Barbu.FLOREA@yahoo.com","0705278582","5","2",2593
633,"DOBRE","Octaviu","M","Octaviu.DOBRE@yahoo.com","0750223493","5","2",2578
634,"GRIGORE","Lascăr","M","Lascăr.GRIGORE@yahoo.com","0772021112","1","78",5977
635,"SOARE","Horațiu","M","Horațiu.SOARE@yahoo.com","0722041613","3","83",6404
636,"RADU","Simion","M","Simion.RADU@gmail.com","0731713606","6","49",5818
637,"VASILE","Sabin","M","Sabin.VASILE@yahoo.com","0712826567","8","35",3172
638,"MURESAN","Severina","F","Severina.MURESAN@yahoo.com","0711228690","7","27",2235
639,"COSTEA","Ionelia","F","Ionelia.COSTEA@yahoo.com","0717419904","1","42",2932
640,"ICHIM","Ducu","M","Ducu.ICHIM@yahoo.com","0738851445","1","59",4961
641,"MIRCEA","Teodosia","F","Teodosia.MIRCEA@yahoo.com","0717909306","5","63",5664
642,"COSTEA","Saveta","F","Saveta.COSTEA@yahoo.com","0737441785","7","2",2556
643,"CRETU","Relu","M","Relu.CRETU@yahoo.com","0719174746","4","48",5755
644,"DIACONESCU","Tinca","F","Tinca.DIACONESCU@gmail.com","0791538371","3","13",2609
645,"OLARIU","Heracleea","F","Heracleea.OLARIU@gmail.com","0720094824","3","82",7351
646,"PARVU","Livia","F","Livia.PARVU@yahoo.com","0731346688","3","57",5184
647,"SABAU","Nicușor","M","Nicușor.SABAU@yahoo.com","0750811769","4","36",2230
648,"CHIS","Aurică","M","Aurică.CHIS@yahoo.com","0706521180","3","68",3104
649,"GEORGESCU","Robertina","F","Robertina.GEORGESCU@yahoo.com","0725487915","7","37",2815
650,"BALINT","Catrinel","F","Catrinel.BALINT@yahoo.com","0780271220","6","68",3104
651,"MIHAILESCU","Ruxanda","F","Ruxanda.MIHAILESCU@yahoo.com","0748983123","3","29",2005
652,"OLTEANU","Ionela","F","Ionela.OLTEANU@yahoo.com","0791635720","1","93",7263
653,"MARIN","Barbu","M","Barbu.MARIN@yahoo.com","0715732282","4","32",2345
654,"GRIGORAS","Chira","F","Chira.GRIGORAS@yahoo.com","0767309259","4","12",2733
655,"ACHIM","Nicolaie","M","Nicolaie.ACHIM@yahoo.com","0788921182","6","87",6038
656,"BUDA","Rita","F","Rita.BUDA@yahoo.com","0792362655","2","62",5383
657,"ANTAL","Silvana","F","Silvana.ANTAL@yahoo.com","0712140493","1","91",9940
658,"NEAGOE","Georgel","M","Georgel.NEAGOE@yahoo.com","0712894370","1","93",7269
659,"BURLACU","Dionisie","M","Dionisie.BURLACU@yahoo.com","0789551335","4","95",9426
660,"VLAD","Romina","F","Romina.VLAD@gmail.com","0791924526","8","55",4777
661,"PINTILIE","Titus","M","Titus.PINTILIE@yahoo.com","0730119371","1","30",1990
662,"BARBU","Estera","F","Estera.BARBU@yahoo.com","0722351131","1","24",2674
663,"STAICU","Leontina","F","Leontina.STAICU@yahoo.com","0726735532","3","94",9331
664,"NEGREA","Ionuța","F","Ionuța.NEGREA@yahoo.com","0776317731","8","72",6761
665,"FRATILA","Larisa","F","Larisa.FRATILA@yahoo.com","0767650459","6","3",2449
666,"STEFANESCU","Faust","M","Faust.STEFANESCU@gmail.com","0703197637","3","61",4978
667,"CHIVU","Izaura","F","Izaura.CHIVU@yahoo.com","0761711759","8","29",1983
668,"SABAU","Gheorghe","M","Gheorghe.SABAU@gmail.com","0779984225","4","74",3944
669,"BANU","Faust","M","Faust.BANU@yahoo.com","0720081190","1","28",2714
670,"GABOR","Nora","F","Nora.GABOR@yahoo.com","0714164397","2","26",3895
671,"VASILE","Măriuca","F","Măriuca.VASILE@yahoo.com","0720307799","2","51",5799
672,"LAZAR","Amza","M","Amza.LAZAR@yahoo.com","0797383467","1","67",6031
673,"DASCALU","Dragoș","M","Dragoș.DASCALU@yahoo.com","0739726199","5","52",3756
674,"ALEXE","Valentina","F","Valentina.ALEXE@yahoo.com","0743077833","6","35",3172
675,"ARDELEAN","Nichifor","M","Nichifor.ARDELEAN@yahoo.com","0747249082","7","52",3843
676,"TURCU","Niculiță","M","Niculiță.TURCU@gmail.com","0763652393","4","63",5664
677,"CIOCAN","Constanța","F","Constanța.CIOCAN@yahoo.com","0728175839","4","13",2597
678,"STANCIU","Cristofor","M","Cristofor.STANCIU@yahoo.com","0704973783","1","94",9331
679,"VASILE","Ruxandra","F","Ruxandra.VASILE@yahoo.com","0738756587","4","18",2422
680,"OPRIS","Trandafir","M","Trandafir.OPRIS@gmail.com","0728004782","6","67",6031
681,"GRIGORAS","Sabin","M","Sabin.GRIGORAS@yahoo.com","0733686487","4","44",6204
682,"BLAGA","Horea","M","Horea.BLAGA@yahoo.com","0796693271","6","4",2069
683,"IVAN","Magdalena","F","Magdalena.IVAN@yahoo.com","0784422351","2","33",2213
684,"IORDACHE","Petrișor","M","Petrișor.IORDACHE@yahoo.com","0745690552","2","8",2115
685,"GABOR","Sorina","F","Sorina.GABOR@yahoo.com","0765818859","1","79",4724
686,"TURCU","Ernest","M","Ernest.TURCU@yahoo.com","0711968075","1","82",7556
687,"SERBAN","Matei","M","Matei.SERBAN@yahoo.com","0784153815","1","81",6372
688,"RADOI","Adriana","F","Adriana.RADOI@yahoo.com","0770489027","1","12",2543
689,"BLAGA","Constantin","M","Constantin.BLAGA@yahoo.com","0721350691","2","26",3413
690,"BIRO","Aleodor","M","Aleodor.BIRO@yahoo.com","0768386413","8","28",2724
691,"SERBAN","Draga","F","Draga.SERBAN@gmail.com","0747875454","6","17",2924
692,"MOLDOVAN","Mitică","M","Mitică.MOLDOVAN@yahoo.com","0773190212","6","34",1995
693,"SERBAN","Rafael","M","Rafael.SERBAN@gmail.com","0716901964","3","9",2307
694,"RADU","Savina","F","Savina.RADU@yahoo.com","0706213538","2","75",4455
695,"STANCU","Oliver","M","Oliver.STANCU@yahoo.com","0730915424","1","27",2243
696,"OLARIU","Costel","M","Costel.OLARIU@gmail.com","0753926850","3","67",6031
697,"MOCANU","Eric","M","Eric.MOCANU@yahoo.com","0724979119","6","28",2717
698,"DANCIU","Valentin","M","Valentin.DANCIU@yahoo.com","0740906961","3","17",2986
699,"VASILE","Consuela","F","Consuela.VASILE@gmail.com","0716261872","6","42",2906
700,"ANDREI","Frusina","F","Frusina.ANDREI@yahoo.com","0726977036","3","51",5597
701,"MUNTEAN","Lenuța","F","Lenuța.MUNTEAN@yahoo.com","0722705964","1","47",6221
702,"VASILE","Gherasim","M","Gherasim.VASILE@yahoo.com","0787706569","7","41",4052
703,"HORVATH","Tudosia","F","Tudosia.HORVATH@yahoo.com","0726592443","7","17",2984
704,"URSU","Astrid","F","Astrid.URSU@yahoo.com","0745400550","4","72",6628
705,"SZABO","Leopoldina","F","Leopoldina.SZABO@yahoo.com","0795360982","4","12",2649
706,"NITA","Aida","F","Aida.NITA@yahoo.com","0706564847","6","20",3143
707,"OANCEA","Leonidas","M","Leonidas.OANCEA@gmail.com","0722287927","1","67",6031
708,"GRIGORESCU","Romulus","M","Romulus.GRIGORESCU@yahoo.com","0714103789","7","74",4063
709,"NAGY","Safina","F","Safina.NAGY@gmail.com","0708187609","3","60",4681
710,"ARDELEANU","Floriana","F","Floriana.ARDELEANU@yahoo.com","0759224873","1","78",5521
711,"LUNGU","Rodica","F","Rodica.LUNGU@gmail.com","0718406941","8","77",4934
712,"DIMA","Ludovica","F","Ludovica.DIMA@yahoo.com","0703419359","8","34",1997
713,"TOMESCU","Geta","F","Geta.TOMESCU@yahoo.com","0772707651","5","84",9050
714,"IORGA","Narcisa","F","Narcisa.IORGA@yahoo.com","0772976132","3","40",7019
715,"ZAMFIR","Marina","F","Marina.ZAMFIR@yahoo.com","0706766329","3","4",2090
716,"CHIRILA","Vladimir","M","Vladimir.CHIRILA@yahoo.com","0722211160","2","21",3140
717,"SIMA","Augusta","F","Augusta.SIMA@yahoo.com","0727349512","7","68",3104
718,"OLARIU","Petrică","M","Petrică.OLARIU@yahoo.com","0773470092","3","31",2002
719,"CIOBANU","Floriana","F","Floriana.CIOBANU@yahoo.com","0718702324","8","51",5521
720,"POP","Ludmila","F","Ludmila.POP@gmail.com","0746696222","4","55",5260
721,"DANCIU","Gloria","F","Gloria.DANCIU@yahoo.com","0712145787","1","20",3330
722,"BURLACU","Sorin","M","Sorin.BURLACU@gmail.com","0794744171","4","25",3523
723,"PINTEA","Iridenta","F","Iridenta.PINTEA@yahoo.com","0725610159","1","16",3015
724,"MIU","Carmina","F","Carmina.MIU@gmail.com","0715486861","3","40",6759
725,"MILEA","Marin","M","Marin.MILEA@gmail.com","0787367383","1","43",5042
726,"MANEA","Sinică","M","Sinică.MANEA@gmail.com","0728983274","3","12",2556
727,"LUNGU","Cosmina","F","Cosmina.LUNGU@yahoo.com","0716978489","3","45",4261
728,"ARDELEANU","Romi","M","Romi.ARDELEANU@yahoo.com","0770665048","8","41",4113
729,"CORNEA","Ilarion","M","Ilarion.CORNEA@yahoo.com","0741164357","2","9",2305
730,"PETCU","Dacian","M","Dacian.PETCU@yahoo.com","0739041067","8","27",2253
731,"PARVU","Silvian","M","Silvian.PARVU@yahoo.com","0769694230","4","71",4443
732,"NEGOITA","Alistar","M","Alistar.NEGOITA@yahoo.com","0704628694","8","83",6411
733,"NISTOR","Arcadian","M","Arcadian.NISTOR@yahoo.com","0703125924","3","93",7031
734,"FLORESCU","Voichița","F","Voichița.FLORESCU@yahoo.com","0791687683","8","22",3175
735,"GIURGIU","Cezar","M","Cezar.GIURGIU@gmail.com","0718839292","5","61",4978
736,"LUNGU","Alexandrina","F","Alexandrina.LUNGU@gmail.com","0747157387","5","19",2665
737,"ENE","Bernard","M","Bernard.ENE@gmail.com","0747936678","1","74",4007
738,"CRISTEA","Raluca","F","Raluca.CRISTEA@gmail.com","0714601610","1","50",5281
739,"ACHIM","Răzvan","M","Răzvan.ACHIM@yahoo.com","0707418810","6","19",2624
740,"PETRE","Ghiță","M","Ghiță.PETRE@yahoo.com","0751013253","1","92",9861
741,"STAICU","Carmina","F","Carmina.STAICU@gmail.com","0713147290","6","81",7134
742,"COSTACHE","Emil","M","Emil.COSTACHE@yahoo.com","0758939627","4","23",3381
743,"IVAN","Iustina","F","Iustina.IVAN@gmail.com","0758391220","2","24",2660
744,"PETRESCU","Mia","F","Mia.PETRESCU@yahoo.com","0704723877","5","24",2680
745,"PIRVU","Radu","M","Radu.PIRVU@yahoo.com","0758036573","1","41",3796
746,"DUMITRIU","Teodosia","F","Teodosia.DUMITRIU@yahoo.com","0729705841","6","71",4458
747,"ROSU","Liana","F","Liana.ROSU@gmail.com","0726979316","8","11",2459
748,"FLOREA","Abel","M","Abel.FLOREA@yahoo.com","0721119978","1","64",5806
749,"MIRON","Eremia","M","Eremia.MIRON@yahoo.com","0703075561","3","50",5852
750,"DRAGOI","Fausta","F","Fausta.DRAGOI@yahoo.com","0755909257","1","16",3102
751,"VLAD","Robertina","F","Robertina.VLAD@gmail.com","0758104076","8","51",4381
752,"PASCA","Fiodor","M","Fiodor.PASCA@yahoo.com","0704654750","1","44",6870
753,"DUTA","Visarion","M","Visarion.DUTA@yahoo.com","0741510998","1","21",3181
754,"IORGA","Dochia","F","Dochia.IORGA@yahoo.com","0758071825","4","22",3120
755,"ION","Leonard","M","Leonard.ION@yahoo.com","0717224199","1","93",7021
756,"TOMESCU","Dariana","F","Dariana.TOMESCU@yahoo.com","0742659879","6","19",2537
757,"MOCANU","Martin","M","Martin.MOCANU@yahoo.com","0746517605","2","61",4978
758,"SZABO","Fabiana","F","Fabiana.SZABO@gmail.com","0751900136","6","57",5184
759,"DANILA","Bernard","M","Bernard.DANILA@yahoo.com","0757152035","8","20",2989
760,"POPESCU","Bebe","M","Bebe.POPESCU@yahoo.com","0716338411","1","92",9861
761,"DUMITRASCU","Dida","F","Dida.DUMITRASCU@gmail.com","0781943310","1","91",9437
762,"RADOI","Ruxandra","F","Ruxandra.RADOI@yahoo.com","0751933806","1","17",2891
763,"GRIGORE","Marilena","F","Marilena.GRIGORE@yahoo.com","0782657003","1","74",4055
764,"DUMITRESCU","Panagachie","M","Panagachie.DUMITRESCU@yahoo.com","0763292600","7","17",2897
765,"ROMAN","Patricia","F","Patricia.ROMAN@yahoo.com","0774582550","1","1",1998
766,"TOADER","Florin","M","Florin.TOADER@yahoo.com","0726224303","3","14",2408
767,"DAVID","Marta","F","Marta.DAVID@yahoo.com","0772548010","3","86",6337
768,"SANDOR","Ionică","M","Ionică.SANDOR@yahoo.com","0740108158","2","30",2002
769,"ARDELEANU","Isabela","F","Isabela.ARDELEANU@gmail.com","0789817757","7","41",4310
770,"PADURARU","Bogdan","M","Bogdan.PADURARU@yahoo.com","0755431404","7","26",3598
771,"MUNTEAN","Agripina","F","Agripina.MUNTEAN@yahoo.com","0704883833","5","63",5664
772,"DANCIU","Leopoldina","F","Leopoldina.DANCIU@yahoo.com","0707546967","5","43",5034
773,"TANASE","Georgel","M","Georgel.TANASE@yahoo.com","0761784426","5","87",6022
774,"CRISAN","Valeria","F","Valeria.CRISAN@yahoo.com","0753814673","6","72",5849
775,"IACOB","Cristobal","M","Cristobal.IACOB@yahoo.com","0794423303","8","23",3274
776,"SIRBU","Romulus","M","Romulus.SIRBU@yahoo.com","0766805016","2","72",6368
777,"GHEORGHITA","Mihail","M","Mihail.GHEORGHITA@yahoo.com","0794542872","3","13",2610
778,"MAXIM","Traian","M","Traian.MAXIM@gmail.com","0722148205","8","54",3528
779,"PANAIT","Ilie","M","Ilie.PANAIT@yahoo.com","0769028532","4","55",5369
780,"NECULA","Bucur","M","Bucur.NECULA@yahoo.com","0716565992","5","87",5883
781,"TRANDAFIR","Casian","M","Casian.TRANDAFIR@yahoo.com","0762544971","1","1",1987
782,"CORNEA","Anemona","F","Anemona.CORNEA@yahoo.com","0781108908","2","43",4931
783,"HORVATH","Naomi","F","Naomi.HORVATH@yahoo.com","0703965642","5","88",6065
784,"CATANA","Niculina","F","Niculina.CATANA@yahoo.com","0791207091","5","2",2704
785,"MARGINEAN","Iustin","M","Iustin.MARGINEAN@yahoo.com","0723570239","7","24",2662
786,"GAL","Gina","F","Gina.GAL@yahoo.com","0752408477","5","2",2549
787,"GHEORGHITA","Norica","F","Norica.GHEORGHITA@yahoo.com","0746467791","5","71",4455
788,"SZEKELY","Oliviu","M","Oliviu.SZEKELY@yahoo.com","0756914392","1","40",6733
789,"COJOCARU","Violeta","F","Violeta.COJOCARU@yahoo.com","0772790279","4","82",7805
790,"CHIVU","Nicodim","M","Nicodim.CHIVU@yahoo.com","0746381901","1","23",3156
791,"TOMESCU","Filip","M","Filip.TOMESCU@yahoo.com","0761848086","3","21",3119
792,"PETCU","Natalia","F","Natalia.PETCU@yahoo.com","0705684285","3","5",2215
793,"NEGOITA","Renata","F","Renata.NEGOITA@yahoo.com","0791483427","1","83",6491
794,"TANASE","Ica","F","Ica.TANASE@yahoo.com","0780245069","8","61",4978
795,"DUMITRIU","Paula","F","Paula.DUMITRIU@gmail.com","0788708140","8","63",5664
796,"NEAMTU","Angelica","F","Angelica.NEAMTU@yahoo.com","0766987815","6","36",2236
797,"PETRESCU","Gruia","M","Gruia.PETRESCU@yahoo.com","0786049892","1","5",2240
798,"ALDEA","Steliana","F","Steliana.ALDEA@yahoo.com","0746186162","4","27",2214
799,"CRISAN","Speranța","F","Speranța.CRISAN@yahoo.com","0790419004","3","53",7291
800,"GHEORGHITA","Mitrofan","M","Mitrofan.GHEORGHITA@yahoo.com","0749659655","3","78",5868
801,"OLARU","Timotei","M","Timotei.OLARU@yahoo.com","0774662939","6","59",4792
802,"MATEI","Sorin","M","Sorin.MATEI@yahoo.com","0767030228","5","3",2325
803,"PIRVU","Mariana","F","Mariana.PIRVU@gmail.com","0707953822","2","90",7930
804,"VOINEA","Gheorghe","M","Gheorghe.VOINEA@yahoo.com","0728596305","6","90",7930
805,"PAUN","Bănel","M","Bănel.PAUN@yahoo.com","0754203970","3","80",3836
806,"TATARU","Florin","M","Florin.TATARU@gmail.com","0792267853","2","24",2640
807,"BALAN","Mona","F","Mona.BALAN@yahoo.com","0765016525","8","46",5726
808,"NECHITA","Nichifor","M","Nichifor.NECHITA@gmail.com","0781849385","1","74",3912
809,"LAZAR","Eufrosina","F","Eufrosina.LAZAR@gmail.com","0724336606","1","81",6405
810,"CHIRITA","Eftimie","M","Eftimie.CHIRITA@gmail.com","0757860246","1","71",4419
811,"BANICA","Marius","M","Marius.BANICA@gmail.com","0715468431","3","32",2316
812,"GEORGESCU","Toma","M","Toma.GEORGESCU@yahoo.com","0741427816","7","62",5315
813,"COSTIN","Dorina","F","Dorina.COSTIN@yahoo.com","0746892104","8","68",3104
814,"ROSU","Fausta","F","Fausta.ROSU@yahoo.com","0747233538","2","67",6031
815,"SZILAGYI","Sergiu","M","Sergiu.SZILAGYI@yahoo.com","0710467547","1","6",2184
816,"MIHAI","Grațiela","F","Grațiela.MIHAI@gmail.com","0753610439","1","73",3800
817,"POP","Nicușor","M","Nicușor.POP@yahoo.com","0787160787","1","22",3194
818,"MANOLACHE","Zaraza","F","Zaraza.MANOLACHE@yahoo.com","0792217861","3","15",2174
819,"BANICA","Laurenția","F","Laurenția.BANICA@gmail.com","0707907300","5","59",5370
820,"ALDEA","Andrian","M","Andrian.ALDEA@yahoo.com","0705391325","2","1",2007
821,"CHIRIAC","Raluca","F","Raluca.CHIRIAC@yahoo.com","0746652825","1","21",3130
822,"DAN","Lioara","F","Lioara.DAN@yahoo.com","0774085915","5","1",1975
823,"COJOCARU","Florentin","M","Florentin.COJOCARU@yahoo.com","0711537711","6","67",6031
824,"CHIRILA","Valentin","M","Valentin.CHIRILA@yahoo.com","0771659377","1","82",7727
825,"FILIP","Henrieta","F","Henrieta.FILIP@yahoo.com","0735083576","2","2",2593
826,"MANEA","Adriana","F","Adriana.MANEA@gmail.com","0716510974","7","84",8234
827,"BADEA","Zamfir","M","Zamfir.BADEA@yahoo.com","0766620466","6","50",6510
828,"PAUN","Casiana","F","Casiana.PAUN@yahoo.com","0752900972","8","60",4510
829,"CORNEA","Nechifor","M","Nechifor.CORNEA@yahoo.com","0706329859","4","26",3770
830,"SERBAN","Alida","F","Alida.SERBAN@yahoo.com","0755709682","8","29",1977
831,"OLARU","Octavian","M","Octavian.OLARU@yahoo.com","0793531852","1","33",2213
832,"SABAU","Marin","M","Marin.SABAU@yahoo.com","0739501900","8","42",2730
833,"DIACONU","Evdochia","F","Evdochia.DIACONU@gmail.com","0783343385","1","25",3363
834,"BOGDAN","Ionela","F","Ionela.BOGDAN@yahoo.com","0765933942","7","61",4978
835,"BUDA","Martina","F","Martina.BUDA@yahoo.com","0776567307","7","89",8677
836,"ILIESCU","Stela","F","Stela.ILIESCU@yahoo.com","0758651318","4","94",9331
837,"STAN","Petrică","M","Petrică.STAN@gmail.com","0750017929","2","82",6797
838,"MORARU","Abel","M","Abel.MORARU@yahoo.com","0732812934","2","84",8102
839,"PARASCHIV","Coralia","F","Coralia.PARASCHIV@yahoo.com","0789247687","8","64",5806
840,"DANILA","Răducu","M","Răducu.DANILA@yahoo.com","0792858166","8","48",5239
841,"TRIFAN","Camil","M","Camil.TRIFAN@yahoo.com","0777428210","4","24",2650
842,"GROSU","Aurelia","F","Aurelia.GROSU@yahoo.com","0798105245","1","59",5252
843,"DIACONESCU","Eustațiu","M","Eustațiu.DIACONESCU@yahoo.com","0794478799","1","27",2252
844,"MOISE","Claudiu","M","Claudiu.MOISE@yahoo.com","0732569293","7","50",6392
845,"GABOR","Aurelian","M","Aurelian.GABOR@yahoo.com","0765470722","7","72",5411
846,"SZEKELY","Adi","M","Adi.SZEKELY@yahoo.com","0768195813","1","27",2224
847,"DUMITRIU","Dan","M","Dan.DUMITRIU@yahoo.com","0729585945","6","35",3172
848,"POP","Alexandra","F","Alexandra.POP@yahoo.com","0789979389","6","88",6065
849,"BOBOC","Albert","M","Albert.BOBOC@yahoo.com","0707284482","7","72",6792
850,"MUSAT","Cristea","M","Cristea.MUSAT@yahoo.com","0728296111","7","28",2730
851,"VOINEA","Monalisa","F","Monalisa.VOINEA@yahoo.com","0782424349","3","23",3530
852,"ION","Mitrofan","M","Mitrofan.ION@yahoo.com","0739446159","7","39",3137
853,"ILIE","Amza","M","Amza.ILIE@yahoo.com","0701418712","5","15",2186
854,"BUDA","Relu","M","Relu.BUDA@yahoo.com","0746775048","2","89",9079
855,"SIMION","Marinel","M","Marinel.SIMION@yahoo.com","0749163428","8","93",7119
856,"CRISTESCU","Paulina","F","Paulina.CRISTESCU@gmail.com","0789374618","1","23",3630
857,"TURCU","Dorian","M","Dorian.TURCU@yahoo.com","0778112159","2","5",2195
858,"ALEXE","Mihnea","M","Mihnea.ALEXE@gmail.com","0774848802","6","2",2548
859,"MORAR","Andreea","F","Andreea.MORAR@yahoo.com","0759586510","4","30",1998
860,"DINU","Emilian","M","Emilian.DINU@gmail.com","0777238844","1","63",5664
861,"DUMITRU","Costache","M","Costache.DUMITRU@gmail.com","0764752587","2","19",2614
862,"CAZACU","Vicențiu","M","Vicențiu.CAZACU@yahoo.com","0782992623","5","56",5009
863,"VASILIU","Iris","F","Iris.VASILIU@gmail.com","0722367573","1","62",5322
864,"SERBAN","Eustațiu","M","Eustațiu.SERBAN@gmail.com","0770548389","6","82",7266
865,"IONITA","Anișoara","F","Anișoara.IONITA@gmail.com","0720863335","1","81",5987
866,"ALEXANDRU","Ecaterina","F","Ecaterina.ALEXANDRU@yahoo.com","0796832562","4","52",4519
867,"ICHIM","Eva","F","Eva.ICHIM@yahoo.com","0789176541","6","34",2002
868,"DUTA","Dimitrie","M","Dimitrie.DUTA@gmail.com","0733376778","2","30",1995
869,"BIRO","Codrin","M","Codrin.BIRO@yahoo.com","0763002600","6","68",3104
870,"MILEA","Bebe","M","Bebe.MILEA@gmail.com","0760978368","1","82",7198
871,"CAZACU","Petria","F","Petria.CAZACU@yahoo.com","0775282727","6","13",2582
872,"VISAN","Cristobal","M","Cristobal.VISAN@yahoo.com","0719957298","5","61",4978
873,"MARGINEAN","Anabela","F","Anabela.MARGINEAN@yahoo.com","0738416382","7","79",4548
874,"UNGUREANU","Luca","M","Luca.UNGUREANU@yahoo.com","0728590422","2","38",2788
875,"MANEA","Titus","M","Titus.MANEA@yahoo.com","0718508275","2","7",2091
876,"MUSAT","Roberta","F","Roberta.MUSAT@yahoo.com","0702967471","3","10",2751
877,"SARBU","Izaura","F","Izaura.SARBU@yahoo.com","0798646617","8","78",6835
878,"ALDEA","Astrid","F","Astrid.ALDEA@yahoo.com","0768719747","6","43",4718
879,"BOTA","Viorela","F","Viorela.BOTA@yahoo.com","0713115285","6","48",6281
880,"STEFANESCU","Mona","F","Mona.STEFANESCU@gmail.com","0754931146","8","64",5834
881,"CRETU","Octavia","F","Octavia.CRETU@yahoo.com","0794865393","7","8",2102
882,"CRISTESCU","Marina","F","Marina.CRISTESCU@gmail.com","0791244774","3","6",2180
883,"VASILIU","Maxim","M","Maxim.VASILIU@yahoo.com","0798310249","4","65",5869
884,"MIU","Marcu","M","Marcu.MIU@yahoo.com","0720560597","8","32",2326
885,"TAMAS","Iulian","M","Iulian.TAMAS@yahoo.com","0724601041","4","3",2322
886,"FRATILA","Anamaria","F","Anamaria.FRATILA@yahoo.com","0791104021","2","23",3515
887,"GHERMAN","Mitrofan","M","Mitrofan.GHERMAN@yahoo.com","0791665996","6","80",3866
888,"BUCUR","Dimitrie","M","Dimitrie.BUCUR@yahoo.com","0788691865","7","83",6296
889,"STOICA","Todor","M","Todor.STOICA@yahoo.com","0726466427","2","31",1987
890,"ANTAL","Margareta","F","Margareta.ANTAL@yahoo.com","0711268799","8","32",2328
891,"ROSU","Gina","F","Gina.ROSU@yahoo.com","0766014682","3","39",3137
892,"NEDELCU","Romeo","M","Romeo.NEDELCU@yahoo.com","0774449057","7","46",5981
893,"MANEA","Teodora","F","Teodora.MANEA@yahoo.com","0715487239","8","78",5900
894,"BLAGA","Lucreția","F","Lucreția.BLAGA@yahoo.com","0781665218","7","68",3104
895,"COSTACHE","Mădălin","M","Mădălin.COSTACHE@yahoo.com","0732704506","2","54",3239
896,"CRETU","Valentin","M","Valentin.CRETU@yahoo.com","0727979415","6","64",5822
897,"ALEXA","Olimpia","F","Olimpia.ALEXA@gmail.com","0789724302","5","90",7930
898,"GAL","Alberta","F","Alberta.GAL@yahoo.com","0720380309","5","73",3761
899,"MANOLACHE","Ionel","M","Ionel.MANOLACHE@gmail.com","0706531039","5","11",2415
900,"MUNTEAN","Sodica","F","Sodica.MUNTEAN@yahoo.com","0705137910","1","78",6065
901,"MATEESCU","Bianca","F","Bianca.MATEESCU@gmail.com","0703029616","5","20",3105
902,"NECHITA","Ica","F","Ica.NECHITA@yahoo.com","0742278284","1","13",2604
903,"MARGINEAN","Cristobal","M","Cristobal.MARGINEAN@yahoo.com","0790313680","4","88",6065
904,"TAMAS","Ioniță","M","Ioniță.TAMAS@gmail.com","0746433146","5","86",6442
905,"CORNEA","Nicoară","M","Nicoară.CORNEA@gmail.com","0777320003","1","58",4809
906,"DIACONESCU","Ileana","F","Ileana.DIACONESCU@yahoo.com","0706899227","3","62",5357
